Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876323	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876323.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876324	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876324.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876325	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876325.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876326	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876326.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876327	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876327.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876328	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876328.fa.gz
Gmax	training/ont/Gmax/scn_roots_PRJNA803218	SRR17876329	evidence/training/ont/Gmax/scn_roots_PRJNA803218/SRR17876329.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327364	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327364.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327365	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327365.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327382	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327382.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327383	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327383.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327384	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327384.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327385	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327385.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327386	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327386.fa.gz
Gmax	training/ont/Gmax/wm82_graft_PRJNA648759	SRR12327387	evidence/training/ont/Gmax/wm82_graft_PRJNA648759/SRR12327387.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244032	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244032.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244033	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244033.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244034	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244034.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244035	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244035.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244036	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244036.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244037	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244037.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244038	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244038.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244039	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244039.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244040	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244040.fa.gz
Gmax	training/ont/Gmax/wm82_seed_PRJNA416810	SRR6244041	evidence/training/ont/Gmax/wm82_seed_PRJNA416810/SRR6244041.fa.gz
Osativa	training/ont/Osativa/indica_flagleaf_PRJNA1291274	SRR34539092	evidence/training/ont/Osativa/indica_flagleaf_PRJNA1291274/SRR34539092.fa.gz
Osativa	training/ont/Osativa/indica_flagleaf_PRJNA1291274	SRR34539093	evidence/training/ont/Osativa/indica_flagleaf_PRJNA1291274/SRR34539093.fa.gz
Osativa	training/ont/Osativa/indica_flagleaf_PRJNA1291274	SRR34539094	evidence/training/ont/Osativa/indica_flagleaf_PRJNA1291274/SRR34539094.fa.gz
Osativa	training/ont/Osativa/indica_flagleaf_PRJNA1291274	SRR34539095	evidence/training/ont/Osativa/indica_flagleaf_PRJNA1291274/SRR34539095.fa.gz
